Evento,Fecha,Link,Link,Link,Clásica,Turismo

Unidad 1
Creación del IAPI,1946_05_28,http://www.labaldrich.com.ar/instituto-argentino-de-promocion-del-intercambio-iapi/,http://www.argentina-rree.com/11/11-010.htm,,Sí,,,,,,,
Nacionalización del BCRA,1946_05_25,http://www.santafe.gov.ar/hemerotecadigital/diario/21088/?page=2,,,Sí,,,,,,,
El Peronimo y la Iglesia en la década del 1950,1952_06_4,https://www.youtube.com/watch?v=KLJ47pNEDOU&feature=youtu.be,,,Sí,,"La fecha no es fija, es el inicio de la segunda presidencia de Perón",,,,,
Nacen los Juegos Infantiles Evita,1948_01_1,http://www.juegosevita.gob.ar/historia/hitos/,,,,Sí,La fecha no es fija,,,,,
Voto femenino en Argentina,1947_09_23,https://www.cultura.gob.ar/23-de-09-de-1947-asi-se-promulgo-la-ley-del-voto-femenino_6501/,,,Sí,,,,,,,
Frondizi recibe a Ernesto “Che” Guevara en Olivos (alarma a los FFAA),1961_08_18,LINK: https://www.youtube.com/watch?v=9sk0_IC0gJA&feature=youtu.be,,,Sí,,En la Timeglider está el evento cargado en una fecha equivocada. Ojo! YA LO CAMBIÉ (chequear),,,,,
"Ley de Medicamentos ""Oñativia""",1963_07_17,http://revistamestiza.unaj.edu.ar/arturo-onativia-y-la-ley-de-medicamentos/,http://www.iade.org.ar/noticias/la-salud-como-bien-social,,Sí,,,,,,,
Ministro de Finanzas 07 Alizón García (17-7-1955 hasta 14-6-1956),1955_07_17,"https://www.todo-argentina.net/biografias-argentinas/07_alizon_garcia.php?id=1217#:~:text=07%20Aliz%C3%B3n%20Garc%C3%ADa%20fue%20un,Lonardi%20y%20Pedro%20Eugenio%20Aramburu"
Robo del cuerpo de Eva Perón,1955_11_1,https://www.todo-argentina.net/historia-argentina/civiles_y_miltares/dictadura_aramburu/cadaver.php?idpagina=1555,,,Sí,,"En la fecha, el día no es fijo (mes y año sí)",,,,,
Contratos peroleros de YPF con empresas de EEUU,1958_07,https://www.todo-argentina.net/historia-argentina/civiles_y_miltares/arturo_frondizi/politica_petrolera.php?idpagina=1573,,,Sí,,"En la fecha, el día no es fijo (mes y año sí)",,,,,
Junta Consultiva Nacional (1955-1958),1955_10_28,http://nomeolvidesorg.com.ar/wpress/?p=2769
Frondizi visita EEUU; 1º presidente argentino que hace visita oficial a ese país,1959_01_21,https://www.youtube.com/watch?v=G3e2ODDIYPU&feature=youtu.be,,,Sí,,Hay 1 códigos QR (1 archivo),,,,,
Frondizi visita EEUU; habla en la sesión conjunta del Congreso en Washington,1959_01_23,https://www.todo-argentina.net/historia-argentina/civiles_y_miltares/arturo_frondizi/frondizi_estados_unidos.php?idpagina=1581&hcb=1,,,Sí,,Hay 1 códigos QR (1 archivo),,,,,
Batalla del Petróleo y del Acero,1958_05_1,https://www.google.com/search?q=batalla+del+petroleo+y+batalla+del+acero&sxsrf=ALeKk026hjO4Jzl61ENMSw4eY3GFoiABLw:1600901462229&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjPy-fXroDsAhU0IrkGHUatD2wQ_AUoAXoECAwQAw&biw=1366&bih=657#imgrc=e_LFw8yESSA6lM,,,Sí,,,,,,,
"""Azules"" y ""Colorados"" (1º enfrentamiento)",1962_03_30,https://www.google.com/search?q=%22azules%22+y+%22colorados%22&tbm=isch&ved=2ahUKEwjK9IWOr4DsAhX-BbkGHWb6DNkQ2-cCegQIABAA&oq=%22azules%22+y+%22colorados%22&gs_lcp=CgNpbWcQAzICCAAyAggAMgIIADICCAAyAggAMgQIABAeMgYIABAFEB4yBggAEAUQHjIGCAAQBRAeMgQIABAYOgQIIxAnOgQIABBDOgUIABCxAzoHCAAQsQMQQ1DnugFY194BYLvgAWgAcAB4AIAB0gGIAcwUkgEGMy4xOC4xmAEAoAEBqgELZ3dzLXdpei1pbWfAAQE&sclient=img&ei=x9FrX4r1Ov6L5OUP5vSzyA0&bih=657&biw=1366#imgrc=jNakJYdVgx4tuM,https://www.youtube.com/watch?v=H9IDdYZtqNs,,Sí,,,,,,,
Revolución Cubana; triunfo de Fidel Castro,1959_01_1,https://canalhistoria.es/hoy-en-la-historia/castro-asume-el-cargo-de-primer-ministro-de-cuba/,https://www.youtube.com/watch?v=XH0xeJwr8Ws,,Sí,,,,,,,
Presidente Provisional José María Guido,1962_03_29,https://www.todo-argentina.net/historia-argentina/civiles_y_miltares/guido/elecciones_1963.php?idpagina=1605,,,Sí,,,,,,,
Entra en vigencia la Ley de Asociaciones Profesionales (de 1955),1958_08_27,http://www.laopinionpopular.com.ar/noticia/40801-arturo-frondizi-pone-en-vigencia-la-ley-de-asociaciones-profesionales.html,,,Sí,,,,,,,
"La noche de los ""bastones largos""",1966_07_29,https://www.diariouno.com.ar/sociedad/noche-bastones-largos-represion-provoco-masiva-fuga-cerebros-07292020_awmP3Rzkb,,,Sí,,,,,,,

Unidad 7
Inauguración de Central Nuclear Atucha I,1968_06_1,https://www.youtube.com/watch?v=8T-sXUaSdBQ&ab_channel=TravelChiliWalkingVideos,https://energia-nuclear.net/centrales-nucleares/argentina/atucha-1.html,,Sí,,,,,,,
"La muerte del ""Che"" Guevara (Bolivia)",1967_10_9,https://www.elhistoriador.com.ar/el-asesinato-de-ernesto-che-guevara/,,,Sí,,,,,,,
La noche de los bastones largos,1966_07_29,https://youtu.be/dAp3hmAv214,https://www.elhistoriador.com.ar/29-de-07-de-1966-la-noche-de-los-bastones-largos/,https://www.youtube.com/watch?v=dAp3hmAv214&ab_channel=CanalEncuentro,Sí,,,,,,,
La fuga y fusilamiento de los guerrilleros de la cárcel de Trelew,1972_08_22,https://notasperiodismopopular.com.ar/2018/08/22/noche-oscura-masacre-trelew/,https://revistacentenario.com/wp-content/uploads/2020/08/Polish_20200822_011956631.jpg,,Sí,,,,,,,
Gob. Facto de Gral. Roberto Levinston (18-06-1970 a 22-03-1971),1970_06_18,https://www.youtube.com/watch?v=ylkFxpHPkmM,,,Sí,,,,,,,
Montoneros: la lucha armada,1976_01_1,https://www.youtube.com/watch?v=ouLQ5-XUuQo&feature=youtu.be,,,Sí,,"En la fecha, no son fijos ni el día ni el mes (el año sí). Hay un código QR (1 archivo)",,,,,
La noche de los bastones largos,1966_07_29,http://semanariomontecaseros.com/29-de-07-1966-noche-de-los-bastones-largos-video/,,,Sí,,,,,,,
"""Rodrigazo"", los trabajadores eb contra",1975_06_4,https://www.youtube.com/watch?v=0_QDEJ1kyi4&feature=youtu.be,,,Sí,,,,,,,
50 años del Cordobazo,1969_05_29,https://www.youtube.com/watch?v=jonS7pw1K0k,,,Sí,,"En la fecha, no son fijos ni el día ni el mes (el año sí). ",,,,,
Hombres y mujeres trabajando en la fábrica Alpargatas,1969_01_1,https://www.youtube.com/watch?v=ZEju1he9wPM
“Domingo Sangriento” en Irlanda del Norte,1972_01_30,https://www.youtube.com/watch?v=qyfU1Ny2wCE,,,Sí,,,,,,,
"Genocidio de Estado en Argentina. Película ""Crónica de una Fuga""",1976_03_24,https://www.youtube.com/watch?v=HDxHJYI4VJU,,,Sí,,,,,,,
"Política Cambiaria: ""La Tablita"" de Martínez de Hoz (20-12-1978 a 02 1981)",1978_12_20,https://www.youtube.com/watch?v=jldDil6ow1k,,,Sí,,,,,,,
Rendición de Malvinas (15-06-1982),1982_06_15,https://www.youtube.com/watch?v=FIpHE7rhTm4
Visita de la Comisión Internacional de los DDHH de la OEA,1979_09_6,https://www.youtube.com/watch?v=gEVAfKqWv34,,,Sí,,,,,,,
La política económica del Proceso de Reorganización Nacional (29-03-1976 a 19-03-1981),1976_03_29,http://www.argentina-rree.com/11/11-062.htm,https://www.youtube.com/watch?v=3sWdsNKiB1g,https://www.youtube.com/watch?v=l2MK_5SGjFE,Sí,,,,,,,
Movilización de la CGT,1982_03_30,https://www.youtube.com/watch?v=n-9c3UMcbmY&feature=youtu.be,,,Sí,,,,,,,
"Operación ""Gabiota""",1977_02_17,http://posicionadelantada.com.ar/politica/operacion-gaviota-el-dia-que-el-erp-casi-volo-por-los-aires-a-videla-y-martinez-de-hoz/,,,Sí,,Hay 1 códigos QR (1 archivo),,,,,
La noche de los lápices,1976_09_16,https://www.google.com/search?q=16%2F9%2F1976+la+noche+de+los+lapices&tbm=isch&,https://www.clacso.org/la-noche-de-los-lapices/,,Sí,,,,,,,
Movimiento Teatro Abierto,1981_07_28,Http://www.teatrodelpueblo.org.ar/teatro_abierto/,,,,Sí,,,,,,

