evento,link
1831 Liga del Interior y Pacto Federal.pdf,http://drive.google.com/uc?export=view&id=1wabUHbXltoxs2iFcenZ16Y7m2QGPnOV9
1945 Guerra Fría.pdf,http://drive.google.com/uc?export=view&id=1T3rhByh53x1p6N4aj5NOTKRTfseTqCw7
Siglos XI-XII-XIII - Feudalismo.pdf,http://drive.google.com/uc?export=view&id=13p23ILIa3CZkqkmLTz0-QCoa-j0ewaTs
1829 - Inicio del gobierno de Rosas.pdf,http://drive.google.com/uc?export=view&id=1iiUPPDSyNKvu9RsRuzSOvn-tw4jtvIRh
"1829 a 1861 Rosas, Anarquía, Unitarios y Federales.pdf",http://drive.google.com/uc?export=view&id=156DV8h9Qt94NxesP4hLZsQGDAWY1ehjr
Fines siglo XVIII a mediados siglo XIX - Romanticismo.pdf,http://drive.google.com/uc?export=view&id=1LeQrPEjXKpGcn_s76njBnjUjmIOw7OY2
2340 aC - Mesopotamia.pdf,http://drive.google.com/uc?export=view&id=1572RSXAWOMc4oySfkGxCbnDwxZkvQL7m
476 DC Caída del Imperio Romano de Occidente.pdf,http://drive.google.com/uc?export=view&id=1Y5YElmPvuurnanYrVM_JHcUqTlIHa16d
1780 a 1840 Revolución Industrial.pdf,http://drive.google.com/uc?export=view&id=1zbwGxYLCfJVXU8fah4PGcCobDP5NeNEN
476 Caída del Imperio Romano de Occidente (cont.).pdf,http://drive.google.com/uc?export=view&id=1GlmBhgvP0uR8Ls1RFQn175M4O6vqIHg5
1789 5 may Revolución Francesa.pdf,http://drive.google.com/uc?export=view&id=1ZuunrTo4tGH8aPo6ZRVYeKM48R5p1egP
2009 7 jul Amado Boudou asume el Ministerio de Economía (hasta 10 11 2011).pdf,http://drive.google.com/uc?export=view&id=1pmaJb1GIT4-MHTOEUmk2NAK9P0AK1aj3
2008 24 nov TURISMO Werner toma la decisión de construir el Ovnipuerto en Cachi Salta.pdf,http://drive.google.com/uc?export=view&id=157PnD0N8YYG7Big_u2EZfdoCaYV6QA8S
2009 21 dic Redrado y las RI.pdf,http://drive.google.com/uc?export=view&id=1shOv9ASak9BlboMBX4J_q3NZD_aBq5QL
2008 11 mar Resolución 125 que inicia el conflicto con el campo.pdf,http://drive.google.com/uc?export=view&id=1eavq--bQ0WhCq53PhqoorRF0lGEW1CQ7
2013 5 mar Fallecimiento de Hugo Chávez.pdf,http://drive.google.com/uc?export=view&id=15Cj9Vwpl3eph69zCv4kwdB9hSbIBXins
2001 28 abr TURISMO Dennis Tito Primer Turista Espacial.pdf,http://drive.google.com/uc?export=view&id=18JdUgOb_qwvbVygf0-ScnkYOlZGhlHU9
"2000 26 abr Media sanción del Senado a la Ley ""Banelco"".pdf",http://drive.google.com/uc?export=view&id=1X3EEJlAiErpiKFXY-9S3m7p56HDeepNT
2001 20 dic Crisis económica y furia social.pdf,http://drive.google.com/uc?export=view&id=1pzW766M22gQH6mxmOUQsLSt7TxtABPFB
"2000 29 may Se promulgó la Ley ""Banelco"".pdf",http://drive.google.com/uc?export=view&id=1m_qOTjAu_NPBG7T-Cnbdpp6rVAF_KEOd
2001 11 set Atentado a las Torres Gemelas.pdf,http://drive.google.com/uc?export=view&id=1_qG8QZGERYzjgvsgJsUOdKziYVv-PhUh
2001 Marzo-abril Plan de Ajuste de López Murphy.pdf,http://drive.google.com/uc?export=view&id=18htKc2tIfgldsSpZSpKWPoFhBfc2jAge
2002 26 jun Asesinatos de Kosteki y Santillán.pdf,http://drive.google.com/uc?export=view&id=13YhbwsiUBMzjWjSmQ0userYwCvXHPCui
1989 marzo Anuncio del Plan Brady.pdf,http://drive.google.com/uc?export=view&id=1L7FBI6F0T8CcJRP_EyPy_thAbeBm2Qww
1985 14 jun Plan Austral.pdf,http://drive.google.com/uc?export=view&id=1IKJ6Le3DSnLpAlz0cJNrU5MhOJE2hm8b
1984 20 set Entrega del informa de la CONADEP.pdf,http://drive.google.com/uc?export=view&id=1xl2HLX0vKoFptzgqpZmo6HDrEHt0pMG_
1983 25 oct Invasión a Granada.pdf,http://drive.google.com/uc?export=view&id=1UyfxHzskKP4M-NHdO3818Kl2BtGAeAOF
1983 22 sept Ley de Amnistía Nº 22.924.pdf,http://drive.google.com/uc?export=view&id=1QDvepnL1MAWqXRBBAp2zTBUoJ5Su4see
1982 02 04 Consecuencias económicas de la Guerra de Malvinas.pdf,http://drive.google.com/uc?export=view&id=164U_eD76-W3g8IyFoogFLcBdz5FTSO25
1982 02 04 Malvinas.pdf,http://drive.google.com/uc?export=view&id=1t3dfXu7sQt3jvIaoOx0VF09tzOnqYYL0
1977 30 abril Las Madres de Plaza de Mayo.pdf,http://drive.google.com/uc?export=view&id=1adIACA9OxctFmydfdDCypd9cESKV3gca
